nome,sku,quantidade,total,porcentagem_das_vendas
"Escarola - 1 Unidade",MOZTXEK2KS,6,48,0.04
"Pimentão Vermelho  - 500 gramas",77DT13O8BR,6,107.94,0.09
"Manga Palmer 1Kg Verde",9UOZLE4DK7,6,309.8,0.25
"Cereja Fresca 500g Normal",SFYRVXOF7N,6,650,0.52
"Mamão papaya 2 un Maduro",G6M3H8I6R5,6,173.95,0.14
"Nectarina Branca - 500g",8XLI5MEBP7,6,269.7,0.22
"Maçã Red graúda - 3UN",68I30PFBTK,6,155.94,0.13
"Tiras de limão cristalizado 300 g",5O69QDDYUG,6,172.8,0.14
"Manga Palmer 300g Normal",F2UZACF69U,5,77.95,0.06
"Damasco turco jumbo   300g",KZRT837QDV,5,236.25,0.19
"Nêspera 500g Normal",IW1EN3EYOZ,5,247.5,0.2
"Brócolis comum 2 un",G111R0OWGX,5,219.9,0.18
"Limão siciliano 500g Normal",PC9ND3YMQN,5,79.95,0.06
"Banana Prata 6UN Verde",6S1KSFRL6P,5,79.95,0.06
"Uva Vitória 500g Maduro",3J20BX7LZI,5,149.95,0.12
"Tiras de laranja cristalizada 300 g",FFY0JTUCBP,5,144,0.12
"Azeitona portuguesa   300g",2SVENLXYE7,5,130.5,0.1
"Beterraba 1 Kg",N73YJVWX7E,5,79.9,0.06
"Castanha-do-Pará Extra Large 300 g",8AV5VROPCI,5,477.6,0.38
"Banana Prata 12UN Verde",11WD8W2YIK,5,159.82,0.13
"Castanha de caju W1 torrada e salgada   300g",NWAO55F5ZB,5,202.5,0.16
"Maçã fuji 8 un Normal",5FJYV4R21O,5,280,0.22
"Cenoura 1 Kg",5G56RMI0PC,5,129.9,0.1
"Mamão Formosa - 1 Un",OGQLF73RQE,5,124.95,0.1
"Pimentão Verde 500 g",DRLUUWHAK0,5,74.95,0.06
"Castanha de caju doce com gergelim   300g",98VXA9RP4U,5,135,0.11
"Brócolis ninja 2 un",IBFF1DNZEO,5,219.9,0.18
"Tamara 300g Normal",CJ1AC83CED,5,104.85,0.08
"Ameixa sem caroço 300 g",M3FOYY5UK8,5,124.8,0.1
"Bananinha cristalizada 300 g",J29FGDP5WL,5,144,0.12
"Melão Orange 1 un Maduro",I20BXW89C5,5,149.5,0.12
"Alface Roxa 1 un",SHTM1I65T4,5,39.95,0.03
"Vagem 300 g",RZ3HJ1YNNU,5,44.95,0.04
"Maracujá doce importado granadilla 500g Maduro",PT6776T30M,5,324.75,0.26
